config,seed,T_cross,T_grok,cross_rel,frac_unstable,min_post,l2_at_grok,l2_drop_postgrok
AdamW fast,0,290.0,506.28726171749463,0.5727973463448865,0.006109979633401222,0.7863295674324036,1421.0098809962328,0.34027160163216114
AdamW fast,1,170.0,337.56664560229643,0.5036042577508834,0.01616161616161616,0.6360890865325928,1387.0668884743818,-0.009039270837980059
AdamW fast,2,410.0,524.4852463797378,0.7817188430561721,0.014256619144602852,0.7130551934242249,2056.9837043460807,0.004991823174093656
AdamW fast,3,230.0,415.45067218520035,0.5536156646232845,0.014198782961460446,0.7986352443695068,1402.4496722771933,-0.1185503450919338
AdamW fast,4,170.0,443.7461187464138,0.3831019423454369,0.016260162601626018,0.5246672034263611,1451.7185448065186,0.1639505052270417
AdamW slow,0,7320.0,10090.609963237252,0.725426909440429,0.0,0.9910504817962646,1566.941260909636,0.38455439387802204
AdamW slow,1,3330.0,5352.609676044331,0.622126439539101,0.0,0.9908267259597778,1626.692260475141,0.39981072028922104
AdamW slow,2,5440.0,7613.261964701965,0.7145426001655992,0.0,0.9906030297279358,1628.413238633779,0.40555661764557555
AdamW slow,3,3070.0,6049.024696949514,0.5075198323372994,0.0,0.9900436401367188,1501.7841928145733,0.40503253617375923
AdamW slow,4,2810.0,5936.863997564317,0.4733138574764122,0.0,0.9904911518096924,1580.6233469746803,0.4545633359605374
EGD m=0 fast,0,300.0,198.22993149642255,1.5133940557579928,0.0,0.9913861155509949,5398.504103946884,0.572921712185492
EGD m=0 fast,1,350.0,169.95567045888,2.059360532396481,0.0,0.9900436401367188,5355.890786251192,0.578463446124705
EGD m=0 fast,2,120.0,183.14757192875624,0.6552093414958271,0.0,0.9916098117828369,5342.013781171365,0.6100100007679884
EGD m=0 fast,3,450.0,160.9255625230542,2.7963239211019255,0.0,0.9939590692520142,5752.869796205621,0.6025469259847318
EGD m=0 fast,4,110.0,155.82497610204817,0.7059202109420645,0.0,0.9931759834289551,5407.933475625136,0.601723524455322
EGD m=0 slow,0,2660.0,3927.219565217391,0.6773239835019909,0.0,0.9901555180549622,2504.1435976507973,0.44675263647952623
EGD m=0 slow,1,4020.0,5110.871395950678,0.7865586293533093,0.0,0.9907148480415344,2554.571934326183,0.4317629572058251
EGD m=0 slow,2,2880.0,3796.016197495782,0.7586901241095666,0.0,0.9902673959732056,2621.824846097593,0.43085298609505823
EGD m=0 slow,3,2660.0,3863.2619647019646,0.6885373097408393,0.0,0.9906030297279358,2519.9109447131655,0.44838692666345975
EGD m=0 slow,4,2130.0,3212.0120154522447,0.6631357509726191,0.0,0.9907148480415344,2581.616223658119,0.42754410463828846
EGD m=0.9 fast,0,500.0,353.5061072261072,1.4144027211393928,0.0,0.9911623597145081,4819.715289081975,0.6998543764336006
EGD m=0.9 fast,1,650.0,496.35212194217934,1.3095541879756873,0.008146639511201629,0.9731513857841492,4861.028184452369,0.6903546593346926
EGD m=0.9 fast,2,650.0,477.0122144522144,1.3626485450617638,0.016260162601626018,0.963978111743927,4745.430675895658,0.6806801649043864
EGD m=0.9 fast,3,650.0,501.0730463199772,1.297216054173707,0.0,0.9914979338645935,4899.403085429815,0.6761069842938332
EGD m=0.9 fast,4,550.0,397.88106560106553,1.3823226274141331,0.004056795131845842,0.9880300164222717,4846.454750605977,0.6942892977949618
EGD m=0.9 slow,0,3250.0,4897.609803399222,0.6635890016685922,0.0,0.9902673959732056,2470.9827884168153,0.4277690106313906
EGD m=0.9 slow,1,3870.0,5495.156675293043,0.7042565351048198,0.0,0.990379273891449,2484.3895241034215,0.417575613226785
EGD m=0.9 slow,2,2910.0,4193.116516694293,0.693994547591094,0.0,0.9913861155509949,2558.524963363387,0.4141613975403758
EGD m=0.9 slow,3,2990.0,4185.85362295082,0.7143106924728528,0.0,0.9906030297279358,2566.7061746965346,0.48826871080557005
EGD m=0.9 slow,4,2590.0,3874.190767740373,0.6685267079686479,0.0,0.9907148480415344,2538.242591934558,0.46582284517730377
Muon m=0 fast,0,80.0,168.37651329098642,0.4751256480869448,0.0,0.9911623597145081,5483.582833912561,0.08909631748263547
Muon m=0 fast,1,90.0,163.95122412552948,0.5489437512896602,0.0,0.9954133629798889,5516.96272382344,-0.009384714156940912
Muon m=0 fast,2,70.0,174.70919627853598,0.40066580060502455,0.0,0.9938471913337708,5138.624654332993,-0.06774347579862079
Muon m=0 fast,3,110.0,146.56024947894628,0.7505445739282925,0.0,0.9926166534423828,5784.571595342927,0.03976530140885754
Muon m=0 fast,4,70.0,165.46034147582452,0.4230621028316186,0.0,0.9956371188163757,5317.793090155955,0.01689281473355677
Muon m=0 slow,0,3040.0,4293.727995128635,0.7080094508662339,0.0,0.9904911518096924,12137.174174589225,0.4584860387808543
Muon m=0 slow,1,3290.0,3843.008098747891,0.8561001994952679,0.0,0.9909386038780212,13250.8269246029,0.4973230774024643
Muon m=0 slow,2,2580.0,3417.8269992734317,0.7548655916605672,0.0,0.9902673959732056,12661.82342560592,0.48839311179293843
Muon m=0 slow,3,2960.0,3734.721357893134,0.7925624742376558,0.0,0.9908267259597778,12607.592252825598,0.4481135577100647
Muon m=0 slow,4,2610.0,3604.609643561191,0.7240728561724199,0.0,0.9906030297279358,12452.682748279363,0.49573907691379365
Muon m=0.95 fast,0,810.0,1464.5759983762114,0.5530610913315896,0.0,0.9912742376327515,15668.765454133414,0.6295179632003937
Muon m=0.95 fast,1,780.0,1467.691516393135,0.5314468274074765,0.0,0.9918335676193237,20650.290469447657,0.663651389777871
Muon m=0.95 fast,2,720.0,1644.9512044702262,0.4377029531595641,0.0,0.9945184588432312,27548.57573380901,0.7371178652497374
Muon m=0.95 fast,3,800.0,1888.2404526310447,0.4236748550139854,0.0,0.9908267259597778,20338.611859363267,0.68553818438545
Muon m=0.95 fast,4,470.0,1705.3262319429366,0.2756070898320217,0.0,0.994182825088501,27709.439286380315,0.7847294660065192
Muon m=0.95 slow,0,4140.0,6147.683012165882,0.6734244416648024,0.0,0.9901555180549622,10890.29092142652,0.4733938602418104
Muon m=0.95 slow,1,3960.0,5288.455387165522,0.748800870970845,0.0,0.9901555180549622,12011.450134388415,0.40540660820001534
Muon m=0.95 slow,2,3260.0,4000.5545093480578,0.8148870343804563,0.0,0.9911623597145081,12981.74918864743,0.4665903009227072
