T_mem,T_grok,T_circuit,T_circuit_25,T_circuit_75,T_circuit_90,T_test_50,exc_min,T_exc_min,T_exc_recover,T_exc_enter,T_res_01,res_final,l2_peak,T_l2_peak,l2_final,l2_init,gini_final,gini_max,T_gini_05,n_keys,emerg_first,emerg_last,emerg_spread,wl_kf_conc_final,config,family,momentum,regime,seed,gap,gap_ratio,circuit_lead,cleanup_dur,dip_width,mem_to_excmin
49.9705365388735,506.28726171749463,326.6093621734406,177.33146044997088,422.08032364979726,774.9739372332958,389.8648600747922,0.13037011869465992,70.0,280.0,40.0,382.39949041033424,4.4488259425263116e-08,6126.4754384337575,12300.0,937.4466072602081,1783.3782138824463,0.938105970621109,0.9414032697677612,284.8157565939321,5,0.0,0.0,0.0,0.9973134994506836,AdamW fast,AdamW,0.9,fast,0,456.31672517862114,10.131715542490511,179.67789954405401,210.0,240.0,20.029463461126497
49.928220928577744,337.56664560229643,198.46712717166488,90.68563141226029,293.06586528814273,401.71074822097,230.83556137114877,0.3093334212422382,70.0,150.0,40.0,249.75490949219758,2.925740477952542e-07,3436.48530754901,20800.0,1380.402442116174,1787.0870623588562,0.9476693272590637,0.9515060186386108,167.0262234178566,5,0.0,0.0,0.0,0.9845325350761414,AdamW fast,AdamW,0.9,fast,1,287.6384246737187,6.76103893397654,139.09951843063155,80.0,110.0,20.071779071422256
49.810929075724516,524.4852463797378,468.9067247405118,265.7699855621659,1030.837212324108,8322.104468162084,452.77777687670203,0.08106143968538873,190.0,410.0,40.0,534.739782628078,0.000635914033684973,3966.544157857832,23150.0,2462.7790230093524,1779.1197283267975,0.9475876688957214,0.958027184009552,359.5103889123062,5,0.0,0.0,0.0,0.9960624277591705,AdamW fast,AdamW,0.9,fast,2,474.67431730401324,10.529521454667004,55.57852163922598,220.0,370.0,140.18907092427548
49.889216138282094,415.45067218520035,263.9269114277635,146.62508886588083,338.7470201340757,1083.698918716698,308.0924378251124,0.14285624025923363,70.0,220.0,40.0,313.91536420430305,0.000598081972124325,4516.478129785042,10150.0,1643.2190943118185,1774.7362294197083,0.9460138082504272,0.9542083740234375,221.63230798575134,5,0.0,0.0,0.0,0.9957353174686432,AdamW fast,AdamW,0.9,fast,3,365.56145604691824,8.327464417032754,151.52376075743683,150.0,180.0,20.110783861717906
58.76051824549505,443.7461187464138,203.94477159718005,68.470650332876,409.30914643306375,496.4690974171477,352.2847008054708,0.529273883835849,70.0,140.0,50.0,424.9938596281599,1.4760396561436312e-07,4447.41000952106,8800.0,1161.700189475203,1780.501963853836,0.9441733062267303,0.9522007703781128,178.32952809182032,5,0.0,0.0,0.0,0.9828791916370392,AdamW fast,AdamW,0.9,fast,4,384.98560050091874,7.551773401529422,239.80134714923375,70.0,90.0,11.23948175450495
137.47916637602492,10090.609963237253,8294.851290415427,3578.898025454355,9442.745769540694,9974.977462825278,9270.616412610712,5.2623589483426245e-05,1410.0,7950.0,120.0,8087.948016766823,3.785187139918101e-08,3675.0360378585756,180.0,964.3658425230533,1783.3782138824463,0.92426797747612,0.9246402978897095,7671.373265942574,5,0.0,0.0,0.0,0.996163010597229,AdamW slow,AdamW,0.9,slow,0,9953.13079686123,73.39737524766488,1795.7586728218266,6540.0,7830.0,1272.520833623975
138.58411364797672,5352.609676044331,4042.7479384190888,1328.7825951584027,4898.311204286047,5558.7544630464545,4600.743227432275,0.0009120213492215213,1190.0,3680.0,120.0,3881.1097369729255,4.635237135406378e-08,3626.7124499250203,180.0,976.3231016071513,1787.0870623588562,0.9229292273521423,0.9266487956047058,3567.472508881746,5,0.0,0.0,0.0,0.997622013092041,AdamW slow,AdamW,0.9,slow,1,5214.025562396354,38.62354446802407,1309.8617376252419,2490.0,3560.0,1051.4158863520233
135.44047831286008,7613.261964701965,6365.6888139159455,2623.066088840737,7329.693915713639,13970.942652852767,6929.785660733518,9.493245162484594e-05,1350.0,6050.0,120.0,6088.056579416721,2.310340784225437e-08,3672.574788674712,170.0,967.9976876862347,1779.1197283267975,0.9116860330104828,0.9120920896530151,5533.288633872736,5,0.0,0.0,0.0,0.9884516000747681,AdamW slow,AdamW,0.9,slow,2,7477.821486389104,56.211127275523545,1247.5731507860191,4700.0,5930.0,1214.55952168714
137.7957718945128,6049.024696949514,4240.109507578504,1505.334497380893,5236.011724277339,5917.247237214084,4802.81248092175,0.0017614178041712631,1050.0,3270.0,120.0,4123.772437622418,5.6168619171530616e-08,3652.783281248063,170.0,893.5123474569991,1774.7362294197083,0.9357098639011383,0.9383043646812439,3293.560088075096,5,0.0,0.0,0.0,0.9965140223503113,AdamW slow,AdamW,0.9,slow,3,5911.228925055001,43.898478260858695,1808.9151893710095,2220.0,3150.0,912.2042281054872
139.5638272346502,5936.863997564317,4284.4,1000.723118126389,5860.139653414883,9266.301942273467,4998.5999872125485,0.010877123748364864,850.0,2680.0,120.0,5339.4219121143515,4.4176185994611664e-08,3642.7382471598685,180.0,862.1298340037465,1780.501963853836,0.9405462443828583,0.9406470060348511,2977.2525991528687,5,0.0,0.0,0.0,0.998469740152359,AdamW slow,AdamW,0.9,slow,4,5797.300170329667,42.538701576179925,1652.4639975643177,1830.0,2560.0,710.4361727653497
56.21430388416004,198.22993149642258,543.0701607189469,52.82531589784125,873.6226937172684,7838.16759024239,97.92417316590482,0.1638463894951017,450.0,750.0,20.0,392.8607612218679,6.9910030382472725e-06,5694.302080762573,450.0,2308.539892029017,1783.3782138824463,0.7784114181995392,0.7872416377067566,460.24793425283053,11,0.0,0.0,0.0,0.8893426358699799,EGD m=0 fast,EGD,0.0,fast,0,142.01562761226253,3.526325468779476,-344.84022922252433,300.0,730.0,393.78569611584
55.96971692631229,169.95567045888,596.0549381666738,48.30079779251737,846.271410813583,1313.957025161434,98.71767160743379,0.13450848386857245,550.0,750.0,30.0,390.36679219342295,1.5396189655820782e-06,5584.353859820869,250.0,2268.9721722975373,1787.0870623588562,0.7781010866165161,0.7904687523841858,511.9289311590811,12,0.0,0.0,0.0,0.9282319247722626,EGD m=0 fast,EGD,0.0,fast,1,113.98595353256772,3.0365647673837177,-426.09926770779373,200.0,720.0,494.0302830736877
57.590934938258776,183.14757192875624,468.3890344355543,51.72882046295901,913.1696541972193,2247.2562952510543,100.72968945379344,0.262907143979102,350.0,750.0,20.0,235.01056367802053,1.41833592989089e-06,5481.876618570881,400.0,2097.588197670877,1779.1197283267975,0.7907925546169281,0.7982428669929504,403.5729043153318,11,0.0,0.0,0.0,0.9337645769119263,EGD m=0 fast,EGD,0.0,fast,2,125.55663699049745,3.1801458358872337,-285.2414625067981,400.0,730.0,292.4090650617412
53.96297010281384,160.9255625230542,588.8637872382872,45.711814886784914,857.2721157981125,1065.2305550367591,80.42605526060495,0.06047757498474742,400.0,750.0,30.0,406.16655721501377,2.8168600531466374e-06,6022.396674416959,400.0,2279.2889492437243,1774.7362294197083,0.7722765207290649,0.7818402051925659,561.8909784438748,12,0.0,0.0,0.0,0.9254765212535858,EGD m=0 fast,EGD,0.0,fast,3,106.96259242024036,2.9821479843761027,-427.938224715233,350.0,720.0,346.03702989718613
55.839288728002046,155.82497610204817,538.9714784417127,40.448126509183666,785.3410959977025,1136.547179322671,78.77511475501636,0.17079767969262277,400.0,700.0,30.0,238.14418242379114,4.283506970747632e-06,5660.287487332476,350.0,2140.048641361296,1780.501963853836,0.7865514159202576,0.7960873246192932,418.80380985214265,11,0.0,0.0,0.0,0.9109744131565094,EGD m=0 fast,EGD,0.0,fast,4,99.98568737404612,2.7905974386795105,-383.1465023396646,300.0,670.0,344.16071127199797
176.787614395326,3927.219565217391,3073.9559342974358,1931.769363846413,3629.6233182499204,4169.70428052419,3195.499979279765,4.3644666652012196e-05,370.0,2790.0,160.0,2989.041376833613,2.68292885849684e-07,4817.315822377801,820.0,1385.4119983911514,1783.3782138824463,0.9485850632190704,0.9495391249656677,2803.1669369283436,5,0.0,0.0,0.0,0.9980523884296417,EGD m=0 slow,EGD,0.0,slow,0,3750.431950822065,22.214336556606767,853.2636309199552,2420.0,2630.0,193.212385604674
